"","clustsize","category"
"812",2,"All clusters"
"813",5,"All clusters"
"814",2,"All clusters"
"815",5,"All clusters"
"816",2,"All clusters"
"817",3,"All clusters"
"818",6,"All clusters"
"819",4,"All clusters"
"820",2,"All clusters"
"821",5,"All clusters"
"822",2,"All clusters"
"823",2,"All clusters"
"824",3,"All clusters"
"825",2,"All clusters"
"826",3,"All clusters"
"827",2,"All clusters"
"828",2,"All clusters"
"829",6,"All clusters"
"830",2,"All clusters"
"831",2,"All clusters"
"832",3,"All clusters"
"833",3,"All clusters"
"834",9,"All clusters"
"835",2,"All clusters"
"836",5,"All clusters"
"837",3,"All clusters"
"838",4,"All clusters"
"839",4,"All clusters"
"840",3,"All clusters"
"841",9,"All clusters"
"842",3,"All clusters"
"843",3,"All clusters"
"844",3,"All clusters"
"845",2,"All clusters"
"846",3,"All clusters"
"847",4,"All clusters"
"848",2,"All clusters"
"849",5,"All clusters"
"850",2,"All clusters"
"851",4,"All clusters"
"852",2,"All clusters"
"853",3,"All clusters"
"854",2,"All clusters"
"855",2,"All clusters"
"856",5,"All clusters"
"857",3,"All clusters"
"858",3,"All clusters"
"859",2,"All clusters"
"860",2,"All clusters"
"861",6,"All clusters"
"862",5,"All clusters"
"863",2,"All clusters"
"864",2,"All clusters"
"865",2,"All clusters"
"866",3,"All clusters"
"867",6,"All clusters"
"868",2,"All clusters"
"869",4,"All clusters"
"870",4,"All clusters"
"871",2,"All clusters"
"872",2,"All clusters"
"873",2,"All clusters"
"874",3,"All clusters"
"875",5,"All clusters"
"876",2,"All clusters"
"877",2,"All clusters"
"878",7,"All clusters"
"879",2,"All clusters"
"880",4,"All clusters"
"881",2,"All clusters"
"882",8,"All clusters"
"883",3,"All clusters"
"884",4,"All clusters"
"885",5,"All clusters"
"886",2,"All clusters"
"887",2,"All clusters"
"888",4,"All clusters"
"889",6,"All clusters"
"890",3,"All clusters"
"891",6,"All clusters"
"892",2,"All clusters"
"893",9,"All clusters"
"894",3,"All clusters"
"895",3,"All clusters"
"896",3,"All clusters"
"897",4,"All clusters"
"898",8,"All clusters"
"899",3,"All clusters"
"900",6,"All clusters"
"901",4,"All clusters"
"902",2,"All clusters"
"903",3,"All clusters"
"904",3,"All clusters"
"905",2,"All clusters"
"906",3,"All clusters"
"907",3,"All clusters"
"908",2,"All clusters"
"909",3,"All clusters"
"910",4,"All clusters"
"911",3,"All clusters"
"912",2,"All clusters"
"913",2,"All clusters"
"914",2,"All clusters"
"915",2,"All clusters"
"916",2,"All clusters"
"917",2,"All clusters"
"918",3,"All clusters"
"919",2,"All clusters"
"920",4,"All clusters"
"921",3,"All clusters"
"922",5,"All clusters"
"923",2,"All clusters"
"924",4,"All clusters"
"925",3,"All clusters"
"926",3,"All clusters"
"927",2,"All clusters"
"928",4,"All clusters"
"929",2,"All clusters"
"930",2,"All clusters"
"931",2,"All clusters"
"932",3,"All clusters"
"933",3,"All clusters"
"934",3,"All clusters"
"935",3,"All clusters"
"936",3,"All clusters"
"937",2,"All clusters"
"938",6,"All clusters"
"939",2,"All clusters"
"940",3,"All clusters"
"941",4,"All clusters"
"942",5,"All clusters"
"943",2,"All clusters"
"944",7,"All clusters"
"945",6,"All clusters"
"946",4,"All clusters"
"947",2,"All clusters"
"948",3,"All clusters"
"949",2,"All clusters"
"950",2,"All clusters"
"951",2,"All clusters"
"952",2,"All clusters"
"953",7,"All clusters"
"954",2,"All clusters"
"955",5,"All clusters"
"956",2,"All clusters"
"957",7,"All clusters"
"958",13,"All clusters"
"959",3,"All clusters"
"960",6,"All clusters"
"961",4,"All clusters"
"962",3,"All clusters"
"963",2,"All clusters"
"964",5,"All clusters"
"965",11,"All clusters"
"966",4,"All clusters"
"967",2,"All clusters"
"968",4,"All clusters"
"969",3,"All clusters"
"970",2,"All clusters"
"971",5,"All clusters"
"972",4,"All clusters"
"973",2,"All clusters"
"974",2,"All clusters"
"975",2,"All clusters"
"976",5,"All clusters"
"977",2,"All clusters"
"978",5,"All clusters"
"979",2,"All clusters"
"980",3,"All clusters"
"981",5,"All clusters"
"982",3,"All clusters"
"983",2,"All clusters"
"984",3,"All clusters"
"985",2,"All clusters"
"986",6,"All clusters"
"987",2,"All clusters"
"988",5,"All clusters"
"989",3,"All clusters"
"990",2,"All clusters"
"991",4,"All clusters"
"992",6,"All clusters"
"993",4,"All clusters"
"994",4,"All clusters"
"995",2,"All clusters"
"996",4,"All clusters"
"997",3,"All clusters"
"998",2,"All clusters"
"999",2,"All clusters"
"1000",3,"All clusters"
"1001",2,"All clusters"
"1002",4,"All clusters"
"1003",2,"All clusters"
"1004",3,"All clusters"
"1005",3,"All clusters"
"1006",2,"All clusters"
"1007",7,"All clusters"
"1008",3,"All clusters"
"1009",3,"All clusters"
"1010",3,"All clusters"
"1011",2,"All clusters"
"1012",6,"All clusters"
"1013",5,"All clusters"
"1014",3,"All clusters"
"1015",5,"All clusters"
"1016",2,"All clusters"
"1017",4,"All clusters"
"1018",4,"All clusters"
"1019",3,"All clusters"
"1020",3,"All clusters"
"1021",3,"All clusters"
"1022",2,"All clusters"
"1023",2,"All clusters"
"1024",2,"All clusters"
"1025",2,"All clusters"
"1026",2,"All clusters"
"1027",6,"All clusters"
"1028",2,"All clusters"
"1029",2,"All clusters"
"1030",3,"All clusters"
"1031",2,"All clusters"
"1032",2,"All clusters"
"1033",2,"All clusters"
"1034",2,"All clusters"
"1035",3,"All clusters"
"1036",2,"All clusters"
"1037",2,"All clusters"
"1038",2,"All clusters"
"1039",5,"All clusters"
"1040",2,"All clusters"
"1041",2,"All clusters"
"1042",2,"All clusters"
"1043",7,"All clusters"
"1044",2,"All clusters"
"1045",4,"All clusters"
"1046",3,"All clusters"
"1047",2,"All clusters"
"1048",2,"All clusters"
"1049",2,"All clusters"
"1050",3,"All clusters"
"1051",7,"All clusters"
"1052",3,"All clusters"
"1053",3,"All clusters"
"1054",3,"All clusters"
"1055",2,"All clusters"
"1056",4,"All clusters"
"1057",3,"All clusters"
"1058",3,"All clusters"
"1059",4,"All clusters"
"1060",2,"All clusters"
"1061",2,"All clusters"
"1062",4,"All clusters"
"1063",4,"All clusters"
"1064",4,"All clusters"
"1065",2,"All clusters"
"1066",2,"All clusters"
"1067",2,"All clusters"
"1068",5,"All clusters"
"1069",2,"All clusters"
"1070",2,"All clusters"
"1071",5,"All clusters"
"1072",2,"All clusters"
"1073",2,"All clusters"
"1074",3,"All clusters"
"1075",3,"All clusters"
"1076",10,"All clusters"
"1077",2,"All clusters"
"1078",2,"All clusters"
"1079",2,"All clusters"
"1080",5,"All clusters"
"1081",2,"All clusters"
"1082",2,"All clusters"
"1083",2,"All clusters"
"1084",2,"All clusters"
"1085",2,"All clusters"
"1086",2,"All clusters"
"1087",3,"All clusters"
"1088",2,"All clusters"
"1089",3,"All clusters"
"1090",2,"All clusters"
"1091",3,"All clusters"
"1092",2,"All clusters"
"1093",2,"All clusters"
"1094",2,"All clusters"
"1095",4,"All clusters"
"1096",5,"All clusters"
"1097",2,"All clusters"
"1098",5,"All clusters"
"1099",3,"All clusters"
"1100",3,"All clusters"
"1101",3,"All clusters"
"1102",3,"All clusters"
"1103",4,"All clusters"
"1104",2,"All clusters"
"1105",6,"All clusters"
"1106",4,"All clusters"
"1107",2,"All clusters"
"1108",7,"All clusters"
"1109",2,"All clusters"
"1110",3,"All clusters"
"1111",7,"All clusters"
"1112",2,"All clusters"
"1113",2,"All clusters"
"1114",2,"All clusters"
"1115",3,"All clusters"
"1116",3,"All clusters"
"1117",3,"All clusters"
"1118",2,"All clusters"
"1119",2,"All clusters"
"1120",2,"All clusters"
"1121",2,"All clusters"
"1122",3,"All clusters"
"1123",2,"All clusters"
"1124",2,"All clusters"
"1125",2,"All clusters"
"1126",3,"All clusters"
"1127",2,"All clusters"
"1128",2,"All clusters"
"1129",3,"All clusters"
"1130",2,"All clusters"
"1131",2,"All clusters"
"1132",5,"All clusters"
"1133",2,"All clusters"
"1134",3,"All clusters"
"1135",3,"All clusters"
"1136",2,"All clusters"
"1137",5,"All clusters"
"1138",4,"All clusters"
"1139",2,"All clusters"
"1140",4,"All clusters"
"1141",3,"All clusters"
"1142",2,"All clusters"
"1143",5,"All clusters"
"1144",8,"All clusters"
"1145",2,"All clusters"
"1146",5,"All clusters"
"1147",5,"All clusters"
"1148",4,"All clusters"
"1149",3,"All clusters"
